project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-351-123-bugFolderExplorerV1.0测试_1470654387+11.csv,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.6153846153846154,0.6923076923076923,0.6153846153846154,5.0,1.0,5.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+27.csv,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,4.0,2.0,1.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+33.csv,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.6,0.6,0.0,0.6,0.8,0.4,4.0,2.0,11.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+5.csv,0.0,0.06666666666666667,0.06666666666666667,0.0,0.2,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.6,0.6666666666666666,0.5333333333333333,5.0,1.0,1.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+50.csv,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,5.0,1.0,17.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+70.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,5.0,10.0,12.0,
performance-351-123-bugFolderExplorerV1.0测试_1470654387+85.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,11.0,
performance-352-95-bug极盗者-全民版V1.1.2.4测试_1470654387+12.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.2777777777777778,4.0,4.0,4.0,
performance-352-95-bug极盗者-全民版V1.1.2.4测试_1470654387+26.csv,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.23076923076923078,0.0,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.5384615384615384,0.5384615384615384,4.0,3.0,9.0,
performance-352-95-bug极盗者-全民版V1.1.2.4测试_1470654387+48.csv,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,9.0,9.0,1.0,
