project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-353-149-bug看苏州V3.0.0测试_1470654370+56.csv,0,0,0,0,0,0.333333333,0,0,0.333333333,0.166666667,0.333333333,0.5,0.166666667,0.5,0.5,10,8,2
performance-353-149-bug看苏州V3.0.0测试_1470654370+69.csv,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0.666666667,10,10,14
performance-353-149-bug看苏州V3.0.0测试_1470654370+89.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,45,51
performance-354-199-bug舞蹈QV1.7测试_1470654383+14.csv,0,0,0,0,0,0.045454545,0.045454545,0.045454545,0.045454545,0.090909091,0.090909091,0.045454545,0.272727273,0.272727273,0.272727273,4,4,2
performance-354-199-bug舞蹈QV1.7测试_1470654383+152.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17,19,18
performance-354-199-bug舞蹈QV1.7测试_1470654383+21.csv,0,0,0,0,0,0,0.047619048,0.047619048,0,0.095238095,0.095238095,0.238095238,0.238095238,0.238095238,0.476190476,4,4,6
performance-354-199-bug舞蹈QV1.7测试_1470654383+57.csv,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.375,0.375,0.25,7,7,10
performance-354-199-bug舞蹈QV1.7测试_1470654383+72.csv,0,0,0,0,0,0.142857143,0,0,0.142857143,0.142857143,0.142857143,0.285714286,0.428571429,0.428571429,0.571428571,7,7,2
performance-354-199-bug舞蹈QV1.7测试_1470654383+83.csv,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0.4,7,7,2
performance-354-199-bug舞蹈QV1.7测试_1470654383+94.csv,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0,7,7,52
performance-355-68-bugWaaShowV1.3.0测试_1470654366+10.csv,0,0,0.090909091,0,0,0.090909091,0.181818182,0.181818182,0.181818182,0.272727273,0.272727273,0.272727273,0.454545455,0.454545455,0.636363636,4,4,1
performance-355-68-bugWaaShowV1.3.0测试_1470654366+36.csv,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,1,1,6,6,1
performance-355-68-bugWaaShowV1.3.0测试_1470654366+42.csv,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,5,5,3
performance-356-105-bug幸运云购V0.1.0测试_1470654372+29.csv,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0.666666667,0.333333333,1,1,4
performance-356-105-bug幸运云购V0.1.0测试_1470654372+38.csv,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,1,1,15
performance-356-105-bug幸运云购V0.1.0测试_1470654372+58.csv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
performance-357-134-bug筑医台V1.2测试_1470654365+23.csv,0.083333333,0.083333333,0,0.166666667,0.166666667,0.083333333,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.25,0.666666667,0.666666667,0.333333333,1,1,2
performance-357-134-bug筑医台V1.2测试_1470654365+34.csv,0.111111111,0.111111111,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,0.111111111,0.444444444,0.444444444,0.111111111,0.777777778,0.777777778,0.111111111,1,1,3
performance-357-134-bug筑医台V1.2测试_1470654365+42.csv,0.125,0.125,0,0.125,0.125,0,0.25,0.25,0,0.375,0.375,0,0.75,0.75,0.125,1,1,13
performance-357-134-bug筑医台V1.2测试_1470654365+60.csv,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0.285714286,0.285714286,0.285714286,0.285714286,0.857142857,0.714285714,0.571428571,1,1,4
performance-357-134-bug筑医台V1.2测试_1470654365+70.csv,0.2,0.2,0,0.2,0.2,0,0.4,0.2,0.2,0.6,0.6,0.4,0.8,0.8,0.8,1,1,4
performance-357-134-bug筑医台V1.2测试_1470654365+83.csv,0.333333333,0.333333333,0,0.666666667,0.666666667,0,0.666666667,0.666666667,0.333333333,1,1,0.666666667,1,1,1,1,1,4
performance-357-134-bug筑医台V1.2测试_1470654365+9.csv,0.058823529,0.058823529,0.058823529,0.176470588,0.176470588,0.058823529,0.176470588,0.176470588,0.117647059,0.411764706,0.411764706,0.294117647,0.705882353,0.705882353,0.470588235,1,1,1
performance-358-100-bug加气助手V1.0.1测试_1470654381+10.csv,0,0,0,0.05,0.05,0.1,0.05,0.05,0.1,0.3,0.3,0.2,0.45,0.45,0.5,2,2,2
performance-358-100-bug加气助手V1.0.1测试_1470654381+57.csv,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,1,28,28,4
performance-359-200-bug出游宝V0.8.0测试_1470654366+104.csv,0,0,0,0.2,0,0,0.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,3,7,7
performance-359-200-bug出游宝V0.8.0测试_1470654366+117.csv,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0.666666667,0.333333333,0.666666667,4,15,16
performance-359-200-bug出游宝V0.8.0测试_1470654366+140.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,51,39
performance-359-200-bug出游宝V0.8.0测试_1470654366+49.csv,0,0,0,0,0,0,0.153846154,0,0,0.153846154,0.153846154,0.153846154,0.384615385,0.230769231,0.153846154,4,6,8
performance-359-200-bug出游宝V0.8.0测试_1470654366+63.csv,0,0,0,0.090909091,0.090909091,0,0.181818182,0.181818182,0,0.181818182,0.181818182,0.090909091,0.454545455,0.454545455,0.363636364,3,3,10
performance-359-200-bug出游宝V0.8.0测试_1470654366+7.csv,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.12,0.08,0.32,0.32,0.16,0.52,0.52,0.28,1,1,1
performance-359-200-bug出游宝V0.8.0测试_1470654366+84.csv,0,0,0,0.142857143,0.142857143,0,0.285714286,0.285714286,0,0.285714286,0.285714286,0.142857143,0.428571429,0.428571429,0.285714286,3,3,6
performance-359-200-bug出游宝V0.8.0测试_1470654366+95.csv,0,0,0,0.166666667,0,0,0.333333333,0.166666667,0.166666667,0.333333333,0.333333333,0.166666667,0.333333333,0.333333333,0.5,3,5,4
performance-360-277-bug寻到宝V1.0.0测试_1470654368+132.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,13,13,16
performance-360-277-bug寻到宝V1.0.0测试_1470654368+153.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,13,13,47
