project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-354-199-bug舞蹈QV1.7测试_1470654383+83.csv,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.4,0.2,0.4,0.4,7.0,7.0,2.0,
performance-354-199-bug舞蹈QV1.7测试_1470654383+94.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,7.0,7.0,52.0,
performance-355-68-bugWaaShowV1.3.0测试_1470654366+10.csv,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.6363636363636364,4.0,4.0,1.0,
performance-355-68-bugWaaShowV1.3.0测试_1470654366+36.csv,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,6.0,6.0,1.0,
performance-355-68-bugWaaShowV1.3.0测试_1470654366+42.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,5.0,5.0,3.0,
performance-356-105-bug幸运云购V0.1.0测试_1470654372+29.csv,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,4.0,
performance-356-105-bug幸运云购V0.1.0测试_1470654372+38.csv,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,15.0,
performance-356-105-bug幸运云购V0.1.0测试_1470654372+58.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
performance-357-134-bug筑医台V1.2测试_1470654365+23.csv,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,2.0,
performance-357-134-bug筑医台V1.2测试_1470654365+34.csv,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.1111111111111111,1.0,1.0,3.0,
