task category,number of reports,number of bugs,number of unique bugs,number of crowdworkers
efficiency,101,26,12,101
efficiency,61,35,12,61
efficiency,52,49,13,52
efficiency,54,37,13,54
efficiency,54,37,13,54
efficiency,101,86,45,101
efficiency,103,86,53,103
efficiency,74,48,15,74
efficiency,66,60,15,66
efficiency,73,54,16,73
efficiency,117,107,75,117
efficiency,74,62,16,74
efficiency,119,88,17,119
efficiency,91,90,18,91
efficiency,90,65,19,90
efficiency,58,52,21,58
efficiency,155,136,22,155
efficiency,162,126,23,162
efficiency,175,153,23,175
efficiency,205,184,25,205
efficiency,212,116,25,212
efficiency,186,143,26,186
efficiency,194,185,27,194
efficiency,245,189,29,245
efficiency,339,260,42,339
efficiency,393,244,48,393
efficiency,426,372,53,426
efficiency,576,447,64,576
efficiency,798,674,98,798
entertainment,50,43,32,50
entertainment,44,28,13,44
entertainment,22,18,6,22
entertainment,166,100,65,166
entertainment,31,27,10,31
entertainment,58,38,14,58
entertainment,76,43,16,76
entertainment,81,65,16,81
entertainment,75,72,18,75
entertainment,136,102,76,136
entertainment,149,77,21,149
entertainment,166,82,22,166
entertainment,173,152,23,173
entertainment,161,125,23,161
entertainment,126,86,23,126
entertainment,217,200,27,217
entertainment,308,263,35,308
entertainment,326,247,40,326
entertainment,404,376,50,404
entertainment,482,332,95,482
finance,35,28,6,35
finance,158,102,65,158
finance,29,23,8,29
finance,29,23,5,29
finance,33,32,7,33
finance,36,28,7,36
finance,36,30,11,36
finance,27,23,7,27
finance,36,24,8,36
finance,22,13,3,22
finance,156,123,56,156
finance,180,45,10,180
finance,158,76,53,158
finance,118,75,32,118
finance,126,87,54,126
finance,38,17,6,38
finance,21,9,6,21
finance,22,18,6,22
finance,65,15,8,65
finance,127,87,21,127
finance,27,12,9,27
finance,54,27,10,54
finance,58,17,11,58
finance,54,18,11,54
finance,50,33,12,50
finance,54,40,13,54
finance,115,60,23,115
finance,75,64,23,75
finance,50,49,15,50
finance,59,54,16,59
finance,117,116,65,117
finance,89,62,17,89
finance,131,128,47,131
finance,166,95,20,166
finance,85,62,20,85
finance,97,72,20,97
finance,88,55,21,88
finance,158,91,21,158
finance,97,66,22,97
finance,97,66,22,97
finance,180,86,23,180
finance,100,84,24,100
finance,205,184,25,204
finance,185,146,25,185
finance,222,210,27,222
finance,222,210,27,222
finance,197,188,28,197
finance,277,198,34,277
finance,462,359,96,462
game,23,19,4,23
game,42,25,9,42
game,183,135,24,181
game,117,93,21,114
game,22,20,8,22
game,62,47,16,62
game,25,17,6,25
game,32,23,6,32
game,37,35,6,37
game,37,32,7,37
game,25,18,6,25
game,129,87,64,129
game,162,78,34,162
game,170,103,43,170
game,21,11,9,21
game,34,30,8,34
game,21,15,6,21
game,43,35,13,43
game,205,85,42,205
game,24,12,3,24
game,116,98,43,116
game,34,32,4,34
game,43,31,10,43
game,30,15,6,30
game,35,23,7,35
game,60,32,22,60
game,175,143,84,175
game,34,21,13,34
game,25,14,3,25
game,48,43,23,48
game,31,16,6,31
game,194,87,3,194
game,24,10,3,24
game,21,21,3,21
game,24,24,3,24
game,150,111,84,150
game,124,68,32,124
game,21,21,4,21
game,68,15,9,68
game,62,22,9,62
game,65,12,10,65
game,22,17,10,22
game,75,20,10,75
game,28,16,10,28
game,36,32,12,36
game,53,49,13,53
game,59,57,14,59
game,116,77,34,116
game,68,40,15,68
game,56,44,16,56
game,115,93,16,115
game,130,96,18,130
game,76,64,19,76
game,105,100,64,105
game,120,81,23,120
game,172,113,23,172
game,244,151,28,243
game,262,199,32,262
game,261,237,32,261
game,262,199,32,262
game,297,209,36,295
game,328,195,45,328
game,391,302,47,391
game,394,359,49,394
game,394,359,49,394
game,447,315,54,447
game,432,355,87,432
game,467,341,94,467
health,60,46,6,60
health,155,102,64,153
health,26,21,6,26
health,40,35,5,40
